# y_true, y_pred
0.000000,0.528195
0.000000,0.437270
0.000000,0.485795
0.000000,0.411020
0.000000,0.510338
0.000000,0.607887
0.000000,0.485976
0.000000,0.538333
0.000000,0.533531
0.000000,0.440051
0.000000,0.518044
0.000000,0.356123
0.000000,0.391019
0.000000,0.462914
0.000000,0.667736
0.000000,0.399656
0.000000,0.420293
0.000000,0.519436
0.000000,0.449528
0.000000,0.548168
0.000000,0.508831
0.000000,0.462901
0.000000,0.378417
0.000000,0.468961
0.000000,0.487927
0.000000,0.475953
0.000000,0.449842
0.000000,0.499032
0.000000,0.465880
0.000000,0.476596
0.000000,0.429276
0.000000,0.470541
0.000000,0.405668
0.000000,0.721603
0.000000,0.539266
0.000000,0.546775
0.000000,0.532091
0.000000,0.420259
0.000000,0.468209
0.000000,0.501886
0.000000,0.523490
0.000000,0.420709
0.000000,0.419767
0.000000,0.452761
0.000000,0.471985
0.000000,0.454841
0.000000,0.515097
0.000000,0.459564
0.000000,0.555076
0.000000,0.526653
0.000000,0.451551
0.000000,0.430125
0.000000,0.494658
0.000000,0.506614
0.000000,0.423156
0.000000,0.407173
0.000000,0.468625
0.000000,0.553509
0.000000,0.688549
0.000000,0.462412
0.000000,0.447021
0.000000,0.494253
0.000000,0.585038
0.000000,0.434697
0.000000,0.529398
0.000000,0.547346
0.000000,0.404710
0.000000,0.416173
0.000000,0.415327
0.000000,0.438043
0.000000,0.494332
0.000000,0.455570
0.000000,0.580821
0.000000,0.409912
0.000000,0.489366
0.000000,0.448484
0.000000,0.513928
0.000000,0.519166
0.000000,0.381680
0.000000,0.435812
0.000000,0.511770
0.000000,0.488642
0.000000,0.384827
0.000000,0.420869
0.000000,0.445270
0.000000,0.348131
0.000000,0.407115
0.000000,0.596639
0.000000,0.496290
0.000000,0.508100
0.000000,0.522104
0.000000,0.516073
0.000000,0.393261
0.000000,0.453060
0.000000,0.422655
0.000000,0.413879
0.000000,0.638555
0.000000,0.545230
0.000000,0.438558
0.000000,0.481304
0.000000,0.479251
0.000000,0.493118
0.000000,0.419156
0.000000,0.451690
0.000000,0.435384
0.000000,0.417568
0.000000,0.421123
0.000000,0.495532
0.000000,0.441777
0.000000,0.416045
0.000000,0.543187
0.000000,0.501371
0.000000,0.368134
0.000000,0.438948
0.000000,0.455575
0.000000,0.499166
0.000000,0.498800
0.000000,0.444389
0.000000,0.508395
0.000000,0.406459
0.000000,0.420840
0.000000,0.541395
0.000000,0.444304
0.000000,0.426817
0.000000,0.423245
0.000000,0.474173
0.000000,0.447075
0.000000,0.484604
0.000000,0.371954
0.000000,0.395577
0.000000,0.418225
0.000000,0.357529
0.000000,0.482515
